angle_target_deg,trial,t_release_s,timestamp_unix,pos_rad,pos_deg,vel_rad_s,torque_Nm,temp_C
3.000,1,0.0000,1784130053.469104,0.041238,2.363,-0.000504,0.12412,29.0
3.000,1,0.0095,1784130053.478599,0.041238,2.363,-0.006546,0.05106,29.0
3.000,1,0.0179,1784130053.487036,0.040855,2.341,0.027695,0.02884,29.0
3.000,1,0.0248,1784130053.493865,0.040855,2.341,0.000504,0.03354,29.0
3.000,1,0.0309,1784130053.499954,0.040855,2.341,-0.017624,0.00662,29.0
3.000,1,0.0618,1784130053.530877,0.040471,2.319,0.002518,-0.00748,29.0
3.000,1,0.0772,1784130053.546277,0.040471,2.319,-0.059922,-0.00577,29.0
3.000,1,0.0935,1784130053.562604,0.040471,2.319,-0.025681,0.01089,29.0
3.000,1,0.1090,1784130053.578087,0.040471,2.319,0.028702,-0.01089,29.0
3.000,1,0.1253,1784130053.594431,0.040471,2.319,0.008560,-0.00790,29.0
3.000,1,0.1417,1784130053.610802,0.040471,2.319,-0.042802,0.00363,29.0
3.000,1,0.1570,1784130053.626102,0.040471,2.319,-0.005539,-0.01389,29.0
3.000,1,0.1729,1784130053.641998,0.040471,2.319,0.010575,-0.00705,29.0
3.000,1,0.1830,1784130053.652126,0.040471,2.319,-0.009567,0.00021,29.0
3.000,1,0.1986,1784130053.667686,0.040471,2.319,0.005539,0.02457,29.0
3.000,1,0.2143,1784130053.683427,0.040471,2.319,-0.021653,-0.00833,29.0
3.000,1,0.2308,1784130053.699892,0.040471,2.319,0.033738,0.02841,29.0
3.000,1,0.2462,1784130053.715320,0.040471,2.319,0.025681,0.00235,29.0
3.000,1,0.2619,1784130053.730979,0.040471,2.319,0.023667,-0.00919,29.0
3.000,1,0.2787,1784130053.747848,0.040471,2.319,0.001511,0.02286,29.0
3.000,1,0.2949,1784130053.763999,0.040471,2.319,-0.035752,-0.01132,29.0
3.000,1,0.3112,1784130053.780264,0.040471,2.319,-0.039780,-0.01602,29.0
3.000,1,0.3274,1784130053.796514,0.040471,2.319,-0.000504,-0.02542,29.0
3.000,1,0.3433,1784130053.812416,0.040471,2.319,0.037766,-0.01859,29.0
3.000,1,0.3596,1784130053.828719,0.040471,2.319,0.010575,-0.02029,29.0
3.000,1,0.3759,1784130053.845026,0.040471,2.319,-0.049851,0.00406,29.0
3.000,1,0.3919,1784130053.860958,0.040471,2.319,-0.040787,-0.00021,29.0
3.000,1,0.4077,1784130053.876845,0.040471,2.319,-0.066972,0.01218,29.0
3.000,1,0.4236,1784130053.892722,0.040471,2.319,0.010575,-0.00449,29.0
3.000,1,0.4400,1784130053.909114,0.040471,2.319,-0.002518,-0.03354,29.0
3.000,1,0.4557,1784130053.924770,0.040471,2.319,0.038773,-0.00107,29.0
3.000,1,0.4718,1784130053.940919,0.040471,2.319,-0.047837,0.00833,29.0
3.000,1,0.4879,1784130053.956988,0.040471,2.319,0.068986,0.03012,29.0
3.000,1,0.5038,1784130053.972901,0.040087,2.297,-0.058915,-0.00278,29.0
3.000,1,0.5198,1784130053.988910,0.040471,2.319,-0.013596,0.00919,29.0
3.000,1,0.5466,1784130054.015727,0.040471,2.319,-0.083085,-0.01047,29.0
3.000,1,0.5623,1784130054.031408,0.040471,2.319,0.001511,-0.01303,29.0
3.000,1,0.5792,1784130054.048295,0.040087,2.297,0.043809,-0.01089,29.0
3.000,1,0.5952,1784130054.064308,0.040087,2.297,-0.013596,-0.00192,29.0
3.000,1,0.6114,1784130054.080463,0.040471,2.319,0.014603,-0.00064,29.0
3.000,1,0.6277,1784130054.096777,0.040471,2.319,0.020645,-0.00620,29.0
3.000,1,0.6433,1784130054.112423,0.040471,2.319,0.002518,0.01645,29.0
3.000,1,0.6594,1784130054.128493,0.040471,2.319,0.016617,0.00577,29.0
3.000,1,0.6758,1784130054.144924,0.040471,2.319,0.027695,-0.01346,29.0
3.000,1,0.6921,1784130054.161166,0.040087,2.297,-0.057908,-0.00790,29.0
3.000,1,0.7081,1784130054.177212,0.040471,2.319,0.050858,0.00150,29.0
3.000,1,0.7242,1784130054.193344,0.040471,2.319,-0.015610,0.01132,29.0
3.000,1,0.7400,1784130054.209054,0.040471,2.319,0.044816,0.00748,29.0
3.000,1,0.7560,1784130054.225150,0.040471,2.319,-0.006546,-0.00192,29.0
3.000,1,0.7720,1784130054.241155,0.040471,2.319,-0.010575,0.00919,29.0
3.000,1,0.7881,1784130054.257221,0.040087,2.297,-0.030716,0.00534,29.0
3.000,1,0.8040,1784130054.273076,0.040087,2.297,-0.076036,-0.03738,29.0
3.000,1,0.8201,1784130054.289158,0.040471,2.319,0.001511,-0.01389,29.0
3.000,1,0.8361,1784130054.305200,0.040471,2.319,0.013596,-0.02585,29.0
3.000,1,0.8518,1784130054.320915,0.040471,2.319,-0.014603,-0.01602,29.0
3.000,1,0.8680,1784130054.337075,0.040471,2.319,-0.029709,-0.02927,29.0
3.000,1,0.8841,1784130054.353199,0.040471,2.319,0.021653,-0.00790,29.0
3.000,1,0.8998,1784130054.368934,0.040087,2.297,-0.039780,0.00406,29.0
3.000,1,0.9164,1784130054.385505,0.040471,2.319,0.030716,0.01004,29.0
3.000,1,0.9321,1784130054.401181,0.040087,2.297,-0.018631,0.00150,29.0
3.000,1,0.9473,1784130054.416405,0.040087,2.297,0.040787,-0.01859,29.0
3.000,1,0.9630,1784130054.432128,0.040471,2.319,-0.003525,0.02713,29.0
3.000,1,0.9794,1784130054.448493,0.040471,2.319,-0.078050,0.00919,29.0
3.000,1,0.9951,1784130054.464238,0.040471,2.319,0.015610,-0.00064,29.0
3.000,1,1.0115,1784130054.480589,0.040471,2.319,0.023667,-0.00577,29.0
3.000,1,1.0270,1784130054.496152,0.040471,2.319,0.002518,0.00235,29.0
3.000,1,1.0433,1784130054.512439,0.040087,2.297,-0.023667,0.01816,29.0
3.000,1,1.0591,1784130054.528154,0.040471,2.319,0.049851,0.01047,29.0
3.000,1,1.0723,1784130054.541399,0.040471,2.319,0.011582,-0.00406,29.0
3.000,1,1.0874,1784130054.556522,0.040471,2.319,0.001511,-0.00278,29.0
3.000,1,1.1035,1784130054.572640,0.040471,2.319,-0.005539,0.00192,29.0
3.000,1,1.1198,1784130054.588911,0.040087,2.297,-0.054887,-0.01431,29.0
3.000,1,1.1355,1784130054.604574,0.040471,2.319,0.008560,0.01175,29.0
3.000,1,1.1515,1784130054.620635,0.040471,2.319,0.050858,-0.01303,29.0
3.000,1,1.1679,1784130054.637052,0.040471,2.319,-0.037766,0.02286,29.0
3.000,1,1.1833,1784130054.652452,0.040471,2.319,-0.005539,-0.02029,29.0
3.000,1,1.1994,1784130054.668471,0.040471,2.319,0.051865,-0.00320,29.0
3.000,1,1.2160,1784130054.685127,0.040087,2.297,-0.018631,-0.00150,29.0
3.000,1,1.2319,1784130054.701008,0.040471,2.319,0.003525,0.00235,29.0
3.000,1,1.2475,1784130054.716570,0.040087,2.297,-0.012589,0.02115,29.0
3.000,1,1.2637,1784130054.732766,0.040471,2.319,0.032731,-0.01218,29.0
3.000,1,1.2797,1784130054.748801,0.040471,2.319,0.044816,0.00748,29.0
3.000,1,1.2954,1784130054.764538,0.040087,2.297,-0.001511,-0.00620,29.0
3.000,1,1.3115,1784130054.780647,0.040471,2.319,0.031724,0.00449,29.0
3.000,1,1.3276,1784130054.796711,0.040471,2.319,0.063951,0.01730,29.0
3.000,1,1.3434,1784130054.812467,0.040471,2.319,0.013596,-0.00320,29.0
3.000,1,1.3591,1784130054.828196,0.040471,2.319,0.004532,-0.00449,29.0
3.000,1,1.3753,1784130054.844403,0.040471,2.319,0.016617,0.03525,29.0
3.000,1,1.3915,1784130054.860568,0.040471,2.319,0.004532,0.00919,29.0
3.000,1,1.4076,1784130054.876660,0.040087,2.297,-0.034745,-0.00406,29.0
3.000,1,1.4234,1784130054.892495,0.040471,2.319,0.048844,-0.00662,29.0
3.000,1,1.4394,1784130054.908534,0.040471,2.319,0.058915,-0.00235,29.0
3.000,1,1.4554,1784130054.924455,0.040471,2.319,0.011582,-0.02499,29.0
3.000,1,1.4713,1784130054.940403,0.040087,2.297,-0.062943,-0.00876,29.0
3.000,1,1.4872,1784130054.956272,0.040471,2.319,0.012589,-0.01260,29.0
3.000,1,1.5032,1784130054.972333,0.040087,2.297,-0.009567,-0.01218,29.0
3.000,1,1.5193,1784130054.988396,0.040471,2.319,0.035752,0.00705,29.0
3.000,1,1.5357,1784130055.004784,0.040087,2.297,-0.017624,0.00919,29.0
3.000,1,1.5515,1784130055.020560,0.040471,2.319,0.018631,-0.00363,29.0
3.000,1,1.5675,1784130055.036576,0.040087,2.297,0.008560,-0.00705,29.0
3.000,1,1.5844,1784130055.053509,0.040087,2.297,0.007553,-0.00064,29.0
3.000,1,1.5998,1784130055.068854,0.040087,2.297,-0.063951,0.02072,29.0
3.000,1,1.6157,1784130055.084815,0.040087,2.297,-0.068986,0.00961,29.0
3.000,1,1.6315,1784130055.100625,0.040087,2.297,-0.001511,0.03268,29.0
3.000,1,1.6481,1784130055.117170,0.040087,2.297,-0.058915,0.00449,29.0
3.000,1,1.6644,1784130055.133504,0.040471,2.319,-0.035752,0.02457,29.0
3.000,1,1.6804,1784130055.149518,0.040471,2.319,-0.057908,0.00705,29.0
3.000,1,1.6969,1784130055.166004,0.040471,2.319,0.025681,0.00790,29.0
3.000,1,1.7131,1784130055.182237,0.040471,2.319,0.009567,-0.00107,29.0
3.000,1,1.7296,1784130055.198744,0.040087,2.297,-0.017624,-0.01389,29.0
3.000,1,1.7458,1784130055.214936,0.040471,2.319,-0.018631,-0.00320,29.0
3.000,1,1.7618,1784130055.230917,0.040087,2.297,-0.005539,0.02756,29.0
3.000,1,1.7779,1784130055.247025,0.040471,2.319,0.069993,-0.00662,29.0
3.000,1,1.7945,1784130055.263646,0.040471,2.319,-0.038773,-0.00534,29.0
3.000,1,1.8105,1784130055.279588,0.040471,2.319,0.049851,0.00705,29.0
3.000,1,1.8268,1784130055.295906,0.040471,2.319,0.028702,0.01688,29.0
3.000,1,1.8430,1784130055.312146,0.040087,2.297,-0.044816,-0.00064,29.0
3.000,1,1.8589,1784130055.328017,0.040471,2.319,-0.072007,0.02371,29.0
3.000,1,1.8750,1784130055.344087,0.040471,2.319,-0.031724,-0.00876,29.0
3.000,1,1.8914,1784130055.360531,0.040471,2.319,0.004532,0.03012,29.0
3.000,1,1.9075,1784130055.376643,0.040471,2.319,0.024674,0.00320,29.0
3.000,1,1.9241,1784130055.393205,0.040471,2.319,0.016617,-0.01559,29.0
3.000,1,1.9402,1784130055.409303,0.040087,2.297,-0.027695,-0.00406,29.0
3.000,1,1.9560,1784130055.425095,0.040471,2.319,0.012589,-0.01517,29.0
3.000,1,1.9720,1784130055.441105,0.040471,2.319,-0.002518,0.01303,29.0
3.000,1,1.9882,1784130055.457301,0.040471,2.319,0.006546,0.02072,29.0
3.000,1,2.0048,1784130055.473920,0.040087,2.297,-0.003525,-0.01517,29.0
3.000,1,2.0213,1784130055.490370,0.040471,2.319,0.009567,-0.01218,29.0
3.000,1,2.0372,1784130055.506303,0.040087,2.297,-0.039780,-0.00235,29.0
3.000,1,2.0531,1784130055.522195,0.040471,2.319,0.004532,-0.01987,29.0
3.000,1,2.0690,1784130055.538081,0.040471,2.319,0.003525,-0.00449,29.0
3.000,1,2.0853,1784130055.554427,0.040087,2.297,-0.011582,0.01773,29.0
3.000,1,2.1015,1784130055.570616,0.040471,2.319,0.052873,-0.00491,29.0
3.000,1,2.1176,1784130055.586704,0.040087,2.297,-0.055894,0.01004,29.0
3.000,1,2.1281,1784130055.597228,0.040087,2.297,-0.029709,0.00662,29.0
3.000,1,2.1430,1784130055.612139,0.040471,2.319,-0.018631,-0.01218,29.0
3.000,1,2.1591,1784130055.628200,0.040087,2.297,-0.012589,0.01474,29.0
3.000,1,2.1752,1784130055.644328,0.040471,2.319,0.020645,-0.00192,29.0
3.000,1,2.1911,1784130055.660158,0.040087,2.297,-0.040787,0.01389,29.0
